page_url,number
https://pnuenv.pusan.ac.kr/pnuenv/15177/subview.do,3330
https://pnuenv.pusan.ac.kr/pnuenv/15180/subview.do,938
https://ee.pusan.ac.kr/ee/ug-notice.do,2566
https://eec.pusan.ac.kr/eehome/14870/subview.do,3154
https://eec.pusan.ac.kr/eehome/14871/subview.do,553
https://eec.pusan.ac.kr/eehome/14872/subview.do,1080
https://semi.pusan.ac.kr/semi/71943/subview.do,93
https://naoe.pusan.ac.kr/naoe/15332/subview.do,434
https://naoe.pusan.ac.kr/naoe/15334/subview.do,140
https://naoe.pusan.ac.kr/naoe/32014/subview.do,262
https://mse.pusan.ac.kr/mse/38585/subview.do,1239
https://mse.pusan.ac.kr/mse/50825/subview.do,211
https://mse.pusan.ac.kr/mse/50826/subview.do,785
https://mse.pusan.ac.kr/mse/38587/subview.do,619
https://mse.pusan.ac.kr/mse/38588/subview.do,134
https://ie.pusan.ac.kr/ie/73110/subview.do,1536
https://ie.pusan.ac.kr/ie/19428/subview.do,3996
https://aerospace.pusan.ac.kr/aerospace/16375/subview.do,3200
https://aerospace.pusan.ac.kr/aerospace/16367/subview.do,355
https://aerospace.pusan.ac.kr/aerospace/16368/subview.do,0
https://archieng.pusan.ac.kr/_archieng/20232/subview.do,0
https://archieng.pusan.ac.kr/_archieng/57415/subview.do,0
https://archieng.pusan.ac.kr/_archieng/20233/subview.do,0
https://archi.pusan.ac.kr/archi/48576/subview.do,0
https://archi.pusan.ac.kr/archi/19645/subview.do,0
https://urban.pusan.ac.kr/urban/17084/subview.do,0
https://urban.pusan.ac.kr/urban/17086/subview.do,0
https://civil.pusan.ac.kr/civil/16275/subview.do,0
https://civil.pusan.ac.kr/civil/16276/subview.do,0
